hashtag,PR
case,0.000632254528579532
umanoidi,0.000625685334556343
cinese,0.0006214663037587496
novax,0.0006211999965097143
codogno,0.0006208489167757867
latitude,0.000618934669208706
orange,0.000618934669208706
orange5g,0.000618934669208706
latitude9510,0.0006189346692087059
fascismo,0.0006157183262162428
cittadini,0.0006146408369694774
stopmes,0.0006062686005750085
bloomberg,0.0006041776782970453
micron,0.0005991116260465919
inquinamentoelettromagnetico,0.0005892298184906436
eolo,0.0005884537690031191
opendata,0.000587275010023196
città,0.0005827562482918779
meizu,0.0005827488342095604
flyme8,0.0005827488342095604
meizu17,0.0005827488342095603
techno,0.0005827488342095603
fotografia,0.0005827488342095603
selfie,0.0005827488342095603
pnl,0.000582544273559674
tavistock,0.0005825442735596739
catastrofe,0.0005825442735596739
razzi,0.0005825442735596739
renesas_electronics,0.000577111769573385
8v97003,0.000577111769573385
beamforming,0.000577111769573385
mimo,0.000577111769573385
3g,0.0005764826408233642
lega,0.0005724183717413325
oracle,0.0005720612931430514
mussolini,0.0005715894216668436
donaldtrump,0.0005715894216668435
guerradisecessione,0.0005715894216668435
pellerossa,0.0005715894216668434
redmi,0.0005705856708299374
partnership,0.0005698059368036392
microchip,0.0005680058084821035
gsma,0.0005643361260648239
lenovo,0.0005640482959633572
wind,0.0005636267903738084
mi10lite5g,0.000561605004699921
tso,0.0005580522288551048
smartgrid,0.00055649529495572
multicloud,0.0005553902238506793
sciechimiche,0.0005548558782088912
mobilità,0.0005519640667227471
serie,0.000547621671844665
matexs,0.000547080539394269
gazebi,0.0005470117215903438
voxitaliabrescia,0.0005470117215903438
brescia,0.0005470117215903438
desenzanodelgarda,0.0005470117215903438
castiglionedellestiviere,0.0005470117215903438
14marzo,0.0005470117215903438
21marzo,0.0005470117215903438
4aprile,0.0005470117215903438
noreferendum,0.0005470117215903438
notaglioparlamentari,0.0005470117215903438
healthcare,0.0005439558887108496
psyop,0.0005414815341359273
sim,0.000541258144700754
whitepaper,0.0005411690316474148
appgallery,0.000540672026528846
covid2019italia,0.0005387782602913007
internetofthings,0.0005378070003413948
restiamoacasa,0.0005367314871488748
ultralarga,0.0005363407069276151
giappone,0.0005346727034110319
security,0.0005343638539577774
microonde,0.0005340859862783051
offerta,0.0005322715361265804
promo,0.0005322715361265804
15febbraio,0.0005322715361265804
108mp,0.0005322715361265803
preorder,0.0005322715361265803
preordine,0.0005322715361265803
geekbuying,0.0005322715361265803
rtw,0.0005322715361265803
xiaomimi10,0.0005322715361265802
xiaomimi10pro,0.0005322715361265802
competenze,0.0005296834743901037
cercasicavieumane,0.0005293731170244149
gubitosi,0.0005284060153325212
billgates,0.0005282162291299387
massmedia,0.0005271085345125546
telegiornali,0.0005271085345125546
astroslide,0.0005259417042106538
linux,0.0005259417042106537
stopchina,0.0005234767419895294
to,0.0005229509283864223
machine,0.0005229509283864222
vaccino,0.0005225900343053479
batteria,0.0005201647253572667
streaming,0.0005199048934747721
emergenzacovid19,0.0005196863011471724
emergenzacoronavirus,0.0005196863011471724
vergo,0.0005196863011471724
globalwarming,0.0005144217779131259
sostenibilità,0.0005144217779131259
cfo,0.0005144217779131259
webinarseries,0.0005144217779131259
pd,0.0005122762509231828
umcp,0.0005114385452062945
lpddr5,0.0005114385452062945
ufs,0.0005114385452062944
remoteworking,0.0005093133497027955
euroinformatica,0.0005089625640290561
cybercrime,0.0005089625640290561
wuflu,0.0005072319506656594
brembo,0.0005072319506656594
nembro,0.0005072319506656594
iphone12,0.0005061673427721273
iphone12pro,0.0005061673427721273
iphone12promax,0.0005061673427721273
honor,0.0005034612486991155
